id,data,święto,dzień_roboczy,pogoda,temperatura,odczuwalna_temperatura,wilgotność,prędkość_wiatru,studenty_ms
661,2021-10-25,False,True,pochmurno,13,14,88,8,25
662,2021-10-26,False,True,pochmurno,14,13,83,11,35
664,2021-10-28,False,True,lekkie_opady,8,7,94,31,0
665,2021-10-30,False,False,pochmurno,2,3,81,12,15
667,2021-11-01,True,False,pochmurno,6,9,54,16,5
668,2021-11-02,False,True,pochmurno,5,3,46,27,7
670,2021-11-04,False,True,ładna_pogoda,3,0,53,23,601
671,2021-11-05,False,True,ładna_pogoda,3,4,49,16,12
673,2021-11-07,False,False,pochmurno,3,3,49,22,8
674,2021-11-08,False,True,ładna_pogoda,6,6,29,31,19
676,2021-11-10,False,True,ładna_pogoda,9,12,54,0,26
677,2021-11-11,True,False,ładna_pogoda,9,10,62,11,113
679,2021-11-13,False,False,ładna_pogoda,2,2,49,23,14
680,2021-11-14,False,False,ładna_pogoda,2,5,52,6,18
682,2021-11-16,False,True,ładna_pogoda,5,4,46,16,11
683,2021-11-17,False,True,pochmurno,4,7,66,6,17
685,2021-11-19,False,True,pochmurno,6,7,62,16,1
686,2021-11-20,False,False,pochmurno,6,8,76,0,19
688,2021-11-22,False,True,ładna_pogoda,4,7,71,0,33
689,2021-11-23,False,True,ładna_pogoda,10,11,41,6,31
691,2021-11-25,False,True,ładna_pogoda,0,3,60,0,279
692,2021-11-26,False,True,ładna_pogoda,4,7,49,0,8
694,2021-11-28,False,False,ładna_pogoda,3,5,36,8,20
695,2021-11-29,False,True,ładna_pogoda,2,3,52,11,21
697,2021-12-01,False,True,ładna_pogoda,3,6,81,0,18
698,2021-12-02,False,True,pochmurno,8,8,82,12,375
700,2021-12-04,False,False,pochmurno,12,14,63,15,17
701,2021-12-05,False,False,ładna_pogoda,4,2,46,26,20
703,2021-12-07,False,True,lekkie_opady,6,9,76,7,17
704,2021-12-08,False,True,pochmurno,5,7,100,0,25
706,2021-12-10,False,True,ładna_pogoda,10,9,88,16,14
707,2021-12-11,False,False,ładna_pogoda,3,4,53,15,16
709,2021-12-13,False,True,ładna_pogoda,2,7,45,0,33
710,2021-12-14,False,True,ładna_pogoda,3,5,61,8,27
712,2021-12-16,False,True,pochmurno,6,8,82,0,261
713,2021-12-17,False,True,pochmurno,8,8,94,16,13
715,2021-12-19,False,False,ładna_pogoda,5,5,57,15,21
716,2021-12-20,False,True,lekkie_opady,4,4,76,11,0
718,2021-12-22,False,True,ładna_pogoda,0,-2,48,11,18
719,2021-12-23,False,True,ładna_pogoda,0,2,65,0,26
721,2021-12-25,True,False,pochmurno,3,0,66,19,3
722,2021-12-26,True,False,lekkie_opady,3,0,93,16,0
724,2021-12-28,False,True,pochmurno,0,-2,65,7,17
725,2021-12-29,False,True,pochmurno,2,-4,56,36,7
727,2021-12-31,False,True,pochmurno,0,-3,60,11,17
